2025-02-27 18:34:12,670 - INFO - Starting training process...
2025-02-27 18:34:12,670 - INFO - Logs will be saved to: logs/training_20250227_183412.log
2025-02-27 18:34:12,670 - INFO - Models will be saved to: models/run_20250227_183412
2025-02-27 18:34:12,670 - INFO - Loading data from full_patient_dataset.csv...
2025-02-27 18:34:15,285 - INFO - Dataset sizes:
2025-02-27 18:34:15,285 - INFO - Training samples: 708097
2025-02-27 18:34:15,285 - INFO - Validation samples: 148515
2025-02-27 18:34:15,285 - INFO - Test samples: 189426
2025-02-27 18:34:15,286 - INFO - Initializing model...
2025-02-27 18:34:15,309 - INFO - Using device: mps
2025-02-27 18:34:15,309 - INFO - Looking at 4.0 hours of data to predict 1.0 hours ahead
2025-02-27 18:34:17,497 - ERROR - Error in training batch 176: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,504 - ERROR - Error in training batch 177: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,510 - ERROR - Error in training batch 178: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,518 - ERROR - Error in training batch 179: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,525 - ERROR - Error in training batch 180: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,532 - ERROR - Error in training batch 181: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,540 - ERROR - Error in training batch 182: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,547 - ERROR - Error in training batch 183: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,553 - ERROR - Error in training batch 184: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,560 - ERROR - Error in training batch 185: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,568 - ERROR - Error in training batch 186: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,575 - ERROR - Error in training batch 187: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,582 - ERROR - Error in training batch 188: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,589 - ERROR - Error in training batch 189: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,596 - ERROR - Error in training batch 190: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,603 - ERROR - Error in training batch 191: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,610 - ERROR - Error in training batch 192: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,617 - ERROR - Error in training batch 193: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,625 - ERROR - Error in training batch 194: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,633 - ERROR - Error in training batch 195: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,640 - ERROR - Error in training batch 196: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,647 - ERROR - Error in training batch 197: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,655 - ERROR - Error in training batch 198: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,663 - ERROR - Error in training batch 199: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,670 - ERROR - Error in training batch 200: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,677 - ERROR - Error in training batch 201: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,685 - ERROR - Error in training batch 202: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,693 - ERROR - Error in training batch 203: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,701 - ERROR - Error in training batch 204: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,709 - ERROR - Error in training batch 205: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,716 - ERROR - Error in training batch 206: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,724 - ERROR - Error in training batch 207: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
